Legacy Module,Legacy Field,Target Module,Target Field,Notes,helper legacy,helper target,in legacy,in target
Accounts,Account Image,Stars,Star Photo,,AccountsAccount Image,StarsStar Photo,TRUE,TRUE
Accounts,Account Name,Stars,Full Name,,AccountsAccount Name,StarsFull Name,TRUE,TRUE
Accounts,Account Owner,Stars,Owner,,AccountsAccount Owner,StarsOwner,TRUE,TRUE
Accounts,Account Type,Remove,Remove,Role defined by new modules like Stars and Mentors,AccountsAccount Type,RemoveRemove,TRUE,FALSE
Accounts,Add Third Guardian,Remove,Remove,Outdated process artifact,AccountsAdd Third Guardian,RemoveRemove,TRUE,FALSE
Accounts,AoPS Username,Remove,Remove,,AccountsAoPS Username,RemoveRemove,TRUE,FALSE
Accounts,Applicant Status,Remove,Remove,Information belongs in Applicant module,AccountsApplicant Status,RemoveRemove,TRUE,FALSE
Accounts,Applicant_Id,Remove,Remove,Information is the same as NMS Star ID,AccountsApplicant_Id,RemoveRemove,TRUE,FALSE
Accounts,Billing City,Households,City,,AccountsBilling City,HouseholdsCity,TRUE,TRUE
Accounts,Billing Code,Households,Zip Code,,AccountsBilling Code,HouseholdsZip Code,TRUE,TRUE
Accounts,Billing State,Households,State,,AccountsBilling State,HouseholdsState,TRUE,TRUE
Accounts,Billing Street,Households,Street,,AccountsBilling Street,HouseholdsStreet,TRUE,TRUE
Accounts,Child In Programs,Remove,Remove,Outdated process artifact,AccountsChild In Programs,RemoveRemove,TRUE,FALSE
Accounts,CogAT Standard Nonverbal,Test Scores,Score Value,,AccountsCogAT Standard Nonverbal,Test ScoresScore Value,TRUE,TRUE
Accounts,CoGAT Standard Quant,Test Scores,Score Value,,AccountsCoGAT Standard Quant,Test ScoresScore Value,TRUE,TRUE
Accounts,Cohort Entry Year,Stars,Cohort Year,,AccountsCohort Entry Year,StarsCohort Year,TRUE,TRUE
Accounts,Cohort Region,Stars,Cohort Region,,AccountsCohort Region,StarsCohort Region,TRUE,TRUE
Accounts,Cohort Status,Stars,Status,,AccountsCohort Status,StarsStatus,TRUE,TRUE
Accounts,Created By,Stars,Created By,,AccountsCreated By,StarsCreated By,TRUE,TRUE
Accounts,Created From Form,Remove,Remove,Outdated process artifact,AccountsCreated From Form,RemoveRemove,TRUE,FALSE
Accounts,Current Child Grade,Stars,Current Grade,,AccountsCurrent Child Grade,StarsCurrent Grade,TRUE,TRUE
Accounts,Date of Withdrawal,Stars,Program End Date,,AccountsDate of Withdrawal,StarsProgram End Date,TRUE,TRUE
Accounts,Description,Remove,Remove,Standard Accounts field,AccountsDescription,RemoveRemove,TRUE,FALSE
Accounts,Designated Metro Area,Households,Metro Area,,AccountsDesignated Metro Area,HouseholdsMetro Area,TRUE,TRUE
Accounts,Emergency Email,Contacts,Email,,AccountsEmergency Email,ContactsEmail,TRUE,TRUE
Accounts,Emergency First Name,Contacts,First Name,,AccountsEmergency First Name,ContactsFirst Name,TRUE,TRUE
Accounts,Emergency Last Name,Contacts,Last Name,,AccountsEmergency Last Name,ContactsLast Name,TRUE,TRUE
Accounts,Emergency Phone,Contacts,Phone,,AccountsEmergency Phone,ContactsPhone,TRUE,TRUE
Accounts,Emergency Relationship to Star,Guardian-Star Associations,Relationship Type,,AccountsEmergency Relationship to Star,Guardian-Star AssociationsRelationship Type,TRUE,TRUE
Accounts,Family Benefits,Households,Family Benefits,,AccountsFamily Benefits,HouseholdsFamily Benefits,TRUE,TRUE
Accounts,Family Income,Households,Income,,AccountsFamily Income,HouseholdsIncome,TRUE,TRUE
Accounts,Guardians,Remove,Remove,Handled by Guardian-Star Associations,AccountsGuardians,RemoveRemove,TRUE,FALSE
Accounts,Highest Level of Education,Households,Highest Level of Education,,AccountsHighest Level of Education,HouseholdsHighest Level of Education,TRUE,TRUE
Accounts,Media Release,Households,Media Release,,AccountsMedia Release,HouseholdsMedia Release,TRUE,TRUE
Accounts,Mentor Name,Stars,Current Mentor Name,,AccountsMentor Name,StarsCurrent Mentor Name,TRUE,TRUE
Accounts,Modified By,Stars,Modified By,,AccountsModified By,StarsModified By,TRUE,TRUE
Accounts,Most Recent Advisor Meeting,Households,Last Advisor Meeting,,AccountsMost Recent Advisor Meeting,HouseholdsLast Advisor Meeting,TRUE,TRUE
Accounts,Name of Current School,Stars,Current School,,AccountsName of Current School,StarsCurrent School,TRUE,TRUE
Accounts,Number of People in Household,Households,Family Size,,AccountsNumber of People in Household,HouseholdsFamily Size,TRUE,TRUE
Accounts,Occupations,Contacts,Occupation,,AccountsOccupations,ContactsOccupation,TRUE,TRUE
Accounts,Other  Family Information,Households,Special Cirumstances,,AccountsOther  Family Information,HouseholdsSpecial Cirumstances,TRUE,FALSE
Accounts,Ownership,Remove,Remove,Redundant field from Accounts,AccountsOwnership,RemoveRemove,TRUE,FALSE
Accounts,Parent Account,Remove,Remove,Concept replaced by Mentor-Star association,AccountsParent Account,RemoveRemove,TRUE,FALSE
Accounts,Primary Guardian City,Contacts,Mailing City,,AccountsPrimary Guardian City,ContactsMailing City,TRUE,TRUE
Accounts,Primary Guardian Country,Contacts,Mailing Country,,AccountsPrimary Guardian Country,ContactsMailing Country,TRUE,TRUE
Accounts,Primary Guardian Email,Contacts,Email,,AccountsPrimary Guardian Email,ContactsEmail,TRUE,TRUE
Accounts,Primary Guardian First Name,Contacts,First Name,,AccountsPrimary Guardian First Name,ContactsFirst Name,TRUE,TRUE
Accounts,Primary Guardian is Only Legal Guardian,Guardian-Star Associations,Is Only Legal Guardian,,AccountsPrimary Guardian is Only Legal Guardian,Guardian-Star AssociationsIs Only Legal Guardian,TRUE,TRUE
Accounts,Primary Guardian Last Name,Contacts,Last Name,,AccountsPrimary Guardian Last Name,ContactsLast Name,TRUE,TRUE
Accounts,Primary Guardian Listed in Directory,Contacts,Opt-out Directory,,AccountsPrimary Guardian Listed in Directory,ContactsOpt-out Directory,TRUE,TRUE
Accounts,Primary Guardian Other Language,Contacts,Other Language,,AccountsPrimary Guardian Other Language,ContactsOther Language,TRUE,TRUE
Accounts,Primary Guardian Phone,Contacts,Phone,,AccountsPrimary Guardian Phone,ContactsPhone,TRUE,TRUE
Accounts,Primary Guardian Preferred Language,Contacts,Preferred Language,,AccountsPrimary Guardian Preferred Language,ContactsPreferred Language,TRUE,TRUE
Accounts,Primary Guardian Relationship to Star,Guardian-Star Associations,Relationship Type,,AccountsPrimary Guardian Relationship to Star,Guardian-Star AssociationsRelationship Type,TRUE,TRUE
Accounts,Primary Guardian Send Emails,Contacts,Opt-out Email,,AccountsPrimary Guardian Send Emails,ContactsOpt-out Email,TRUE,TRUE
Accounts,Primary Guardian Send Texts,Contacts,Opt-out Text (SMS),,AccountsPrimary Guardian Send Texts,ContactsOpt-out Text (SMS),TRUE,TRUE
Accounts,Primary Guardian State,Contacts,Mailing State,,AccountsPrimary Guardian State,ContactsMailing State,TRUE,TRUE
Accounts,Primary Guardian Street,Contacts,Mailing Street,,AccountsPrimary Guardian Street,ContactsMailing Street,TRUE,TRUE
Accounts,Primary Guardian Zip,Contacts,Mailing Zip Code,,AccountsPrimary Guardian Zip,ContactsMailing Zip Code,TRUE,TRUE
Accounts,School NCES ID,Schools,NCES ID,,AccountsSchool NCES ID,SchoolsNCES ID,TRUE,TRUE
Accounts,Schools,Star-School Associations,School,,AccountsSchools,Star-School AssociationsSchool,TRUE,TRUE
Accounts,Second Guardian Other Language,Contacts,Other Language,,AccountsSecond Guardian Other Language,ContactsOther Language,TRUE,TRUE
Accounts,Secondary Guardian City,Contacts,Mailing City,,AccountsSecondary Guardian City,ContactsMailing City,TRUE,TRUE
Accounts,Secondary Guardian Country,Contacts,Mailing Country,,AccountsSecondary Guardian Country,ContactsMailing Country,TRUE,TRUE
Accounts,Secondary Guardian First Name,Contacts,First Name,,AccountsSecondary Guardian First Name,ContactsFirst Name,TRUE,TRUE
Accounts,Secondary Guardian Last Name,Contacts,Last Name,,AccountsSecondary Guardian Last Name,ContactsLast Name,TRUE,TRUE
Accounts,Secondary Guardian Listed in Directory,Contacts,Opt-out Directory,,AccountsSecondary Guardian Listed in Directory,ContactsOpt-out Directory,TRUE,TRUE
Accounts,Secondary Guardian Phone,Contacts,Phone,,AccountsSecondary Guardian Phone,ContactsPhone,TRUE,TRUE
Accounts,Secondary Guardian Preferred Language,Contacts,Preferred Language,,AccountsSecondary Guardian Preferred Language,ContactsPreferred Language,TRUE,TRUE
Accounts,Secondary Guardian Relationship to Star,Guardian-Star Associations,Relationship Type,,AccountsSecondary Guardian Relationship to Star,Guardian-Star AssociationsRelationship Type,TRUE,TRUE
Accounts,Secondary Guardian Send Emails,Contacts,Opt-out Email,,AccountsSecondary Guardian Send Emails,ContactsOpt-out Email,TRUE,TRUE
Accounts,Secondary Guardian Send Texts,Contacts,Opt-out Text (SMS),,AccountsSecondary Guardian Send Texts,ContactsOpt-out Text (SMS),TRUE,TRUE
Accounts,Secondary Guardian State,Contacts,Mailing State,,AccountsSecondary Guardian State,ContactsMailing State,TRUE,TRUE
Accounts,Secondary Guardian Street,Contacts,Mailing Street,,AccountsSecondary Guardian Street,ContactsMailing Street,TRUE,TRUE
Accounts,Secondary Guardian Zip,Contacts,Mailing Zip Code,,AccountsSecondary Guardian Zip,ContactsMailing Zip Code,TRUE,TRUE
Accounts,Show Admin,Remove,Remove,Operational need unclear,AccountsShow Admin,RemoveRemove,TRUE,FALSE
Accounts,Star Date of Birth,Stars,Date of Birth (DOB),,AccountsStar Date of Birth,StarsDate of Birth (DOB),TRUE,TRUE
Accounts,Star Dietary Restrictions,Stars,Dietary Restrictions,,AccountsStar Dietary Restrictions,StarsDietary Restrictions,TRUE,TRUE
Accounts,Star Email,Stars,email,,AccountsStar Email,Starsemail,TRUE,TRUE
Accounts,Star First Name,Stars,First Name,,AccountsStar First Name,StarsFirst Name,TRUE,TRUE
Accounts,Star Identity,Stars,Gender Identity,,AccountsStar Identity,StarsGender Identity,TRUE,TRUE
Accounts,Star Last Name,Stars,Last Name,,AccountsStar Last Name,StarsLast Name,TRUE,TRUE
Accounts,Star Middle Name,Stars,Middle Name,,AccountsStar Middle Name,StarsMiddle Name,TRUE,TRUE
Accounts,Star Phone,Stars,Phone,,AccountsStar Phone,StarsPhone,TRUE,TRUE
Accounts,Star Race or Ethnicity,Stars,Race or Ethnicity,,AccountsStar Race or Ethnicity,StarsRace or Ethnicity,TRUE,TRUE
Accounts,Star T-Shirt Size,Remove,Remove,Information changes regularly,AccountsStar T-Shirt Size,RemoveRemove,TRUE,FALSE
Accounts,Student ID,Stars,NMS Star ID,,AccountsStudent ID,StarsNMS Star ID,TRUE,TRUE
Accounts,Third Guardian City,Contacts,Mailing City,,AccountsThird Guardian City,ContactsMailing City,TRUE,TRUE
Accounts,Third Guardian Country,Contacts,Mailing Country,,AccountsThird Guardian Country,ContactsMailing Country,TRUE,TRUE
Accounts,Third Guardian Email,Contacts,Email,,AccountsThird Guardian Email,ContactsEmail,TRUE,TRUE
Accounts,Third Guardian First Name,Contacts,First Name,,AccountsThird Guardian First Name,ContactsFirst Name,TRUE,TRUE
Accounts,Third Guardian Last Name,Contacts,Last Name,,AccountsThird Guardian Last Name,ContactsLast Name,TRUE,TRUE
Accounts,Third Guardian Listed in Directory,Contacts,Opt-out Directory,Outdated process artifact,AccountsThird Guardian Listed in Directory,ContactsOpt-out Directory,TRUE,TRUE
Accounts,Third Guardian Other Language,Contacts,Other Language,,AccountsThird Guardian Other Language,ContactsOther Language,TRUE,TRUE
Accounts,Third Guardian Phone,Contacts,Phone,,AccountsThird Guardian Phone,ContactsPhone,TRUE,TRUE
Accounts,Third Guardian Preferred Language,Contacts,Preferred Language,,AccountsThird Guardian Preferred Language,ContactsPreferred Language,TRUE,TRUE
Accounts,Third Guardian Relationship to Star,Guardian-Star Associations,Relationship Type,,AccountsThird Guardian Relationship to Star,Guardian-Star AssociationsRelationship Type,TRUE,TRUE
Accounts,Third Guardian Send Emails,Contacts,Opt-out Email,,AccountsThird Guardian Send Emails,ContactsOpt-out Email,TRUE,TRUE
Accounts,Third Guardian Send Texts,Contacts,Opt-out Text (SMS),,AccountsThird Guardian Send Texts,ContactsOpt-out Text (SMS),TRUE,TRUE
Accounts,Third Guardian State,Contacts,Mailing State,,AccountsThird Guardian State,ContactsMailing State,TRUE,TRUE
Accounts,Third Guardian Street,Contacts,Mailing Street,,AccountsThird Guardian Street,ContactsMailing Street,TRUE,TRUE
Accounts,Third Guardian Zip,Contacts,Mailing Zip Code,,AccountsThird Guardian Zip,ContactsMailing Zip Code,TRUE,TRUE
Accounts,Website,Remove,Remove,Standard Accounts field,AccountsWebsite,RemoveRemove,TRUE,FALSE
Contacts,Account Name,Remove/Hide,Remove/Hide,Contacts link to Stars/Mentors via associations,ContactsAccount Name,Remove/HideRemove/Hide,TRUE,FALSE
Contacts,Advisor Meetings,Remove,Remove,Related list belongs in Advisor Meetings module,ContactsAdvisor Meetings,RemoveRemove,TRUE,FALSE
Contacts,Applicant Source,Remove/Hide,Remove/Hide,Information belongs in Applicant module,ContactsApplicant Source,Remove/HideRemove/Hide,TRUE,FALSE
Contacts,Applicant_Id,Remove,Remove,,ContactsApplicant_Id,RemoveRemove,TRUE,FALSE
Contacts,Assigned Profile,Remove,Remove,Operational need unclear,ContactsAssigned Profile,RemoveRemove,TRUE,FALSE
Contacts,Assistant,Remove/Hide,Remove/Hide,Standard Contacts field,ContactsAssistant,Remove/HideRemove/Hide,TRUE,FALSE
Contacts,Asst Phone,Remove/Hide,Remove/Hide,Standard Contacts field,ContactsAsst Phone,Remove/HideRemove/Hide,TRUE,FALSE
Contacts,Auto Approve,Remove,Remove,Operational need unclear,ContactsAuto Approve,RemoveRemove,TRUE,FALSE
Contacts,Average Time Spent (Minutes),Remove/Hide,Remove/Hide,Standard Contacts field,ContactsAverage Time Spent (Minutes),Remove/HideRemove/Hide,TRUE,FALSE
Contacts,Child(ren) / Stars,Remove,Remove,Guardians link to Stars via associations,ContactsChild(ren) / Stars,RemoveRemove,TRUE,FALSE
Contacts,Cohort Region,Remove,Remove,Redundant field from Accounts,ContactsCohort Region,RemoveRemove,TRUE,FALSE
Contacts,Cohort Status,Remove,Remove,Redundant field from Accounts,ContactsCohort Status,RemoveRemove,TRUE,FALSE
Contacts,Cohort Year,Remove,Remove,Redundant field from Accounts,ContactsCohort Year,RemoveRemove,TRUE,FALSE
Contacts,Contact Image,Remove/Hide,Remove/Hide,Standard Contacts field,ContactsContact Image,Remove/HideRemove/Hide,TRUE,FALSE
Contacts,Contact Owner,Contacts,Owner,,ContactsContact Owner,ContactsOwner,TRUE,TRUE
Contacts,Contact Type,Contacts,Role (General),,ContactsContact Type,ContactsRole (General),TRUE,TRUE
Contacts,Created By,Contacts,Created By,,ContactsCreated By,ContactsCreated By,TRUE,TRUE
Contacts,Days Visited,Remove/Hide,Remove/Hide,Redundant field from Accounts,ContactsDays Visited,Remove/HideRemove/Hide,TRUE,FALSE
Contacts,Deactivate User,Contacts,Status,,ContactsDeactivate User,ContactsStatus,TRUE,TRUE
Contacts,Description,Contacts,Notes,,ContactsDescription,ContactsNotes,TRUE,TRUE
Contacts,District,Remove,Remove,Districts link to Stars via associations,ContactsDistrict,RemoveRemove,TRUE,FALSE
Contacts,Email,Contacts,Email,,ContactsEmail,ContactsEmail,TRUE,TRUE
Contacts,Email Opt Out,Contacts,Opt-out Email,,ContactsEmail Opt Out,ContactsOpt-out Email,TRUE,TRUE
Contacts,First Name,Contacts,First Name,,ContactsFirst Name,ContactsFirst Name,TRUE,TRUE
Contacts,First Page Visited,Remove/Hide,Remove/Hide,Standard Contacts field,ContactsFirst Page Visited,Remove/HideRemove/Hide,TRUE,FALSE
Contacts,First Visit,Remove/Hide,Remove/Hide,Standard Contacts field,ContactsFirst Visit,Remove/HideRemove/Hide,TRUE,FALSE
Contacts,Foundation Name,Contacts,Organization,,ContactsFoundation Name,ContactsOrganization,TRUE,TRUE
Contacts,Guardian Date of Birth,Contacts,Date of Birth (DOB),,ContactsGuardian Date of Birth,ContactsDate of Birth (DOB),TRUE,TRUE
Contacts,Guardian is Only Legal Guardian,Guardian-Star Associations,Is Only Legal Guardian,,ContactsGuardian is Only Legal Guardian,Guardian-Star AssociationsIs Only Legal Guardian,TRUE,TRUE
Contacts,Guardian Listed in Directory,Contacts,Opt-out Directory,,ContactsGuardian Listed in Directory,ContactsOpt-out Directory,TRUE,TRUE
Contacts,Guardian Other Language,Contacts,Other Language,,ContactsGuardian Other Language,ContactsOther Language,TRUE,TRUE
Contacts,Guardian Preferred Language,Contacts,Preferred Language,,ContactsGuardian Preferred Language,ContactsPreferred Language,TRUE,TRUE
Contacts,Guardian Relationship to Star,Guardian-Star Associations,Relationship Type,,ContactsGuardian Relationship to Star,Guardian-Star AssociationsRelationship Type,TRUE,TRUE
Contacts,Guardian Send Emails,Contacts,Opt-out Email,,ContactsGuardian Send Emails,ContactsOpt-out Email,TRUE,TRUE
Contacts,Guardian Send Texts,Contacts,Opt-out Text (SMS),,ContactsGuardian Send Texts,ContactsOpt-out Text (SMS),TRUE,TRUE
Contacts,Last Login Date,Remove,Remove,Standard Contacts field,ContactsLast Login Date,RemoveRemove,TRUE,FALSE
Contacts,Last Name,Contacts,Last Name,,ContactsLast Name,ContactsLast Name,TRUE,TRUE
Contacts,Mailing City,Contacts,Mailing City,,ContactsMailing City,ContactsMailing City,TRUE,TRUE
Contacts,Mailing Country,Contacts,Mailing Country,,ContactsMailing Country,ContactsMailing Country,TRUE,TRUE
Contacts,Mailing State,Contacts,Mailing State,,ContactsMailing State,ContactsMailing State,TRUE,TRUE
Contacts,Mailing Street,Contacts,Mailing Street,,ContactsMailing Street,ContactsMailing Street,TRUE,TRUE
Contacts,Mailing Zip,Contacts,Mailing Zip Code,,ContactsMailing Zip,ContactsMailing Zip Code,TRUE,TRUE
Contacts,Middle Name,Contacts,Middle Name,,ContactsMiddle Name,ContactsMiddle Name,TRUE,TRUE
Contacts,Modified By,Contacts,Modified By,,ContactsModified By,ContactsModified By,TRUE,TRUE
Contacts,Most Recent Visit,Remove/Hide,Remove/Hide,Standard Contacts field,ContactsMost Recent Visit,Remove/HideRemove/Hide,TRUE,FALSE
Contacts,NMS Point of Contact,Contacts,Owner,,ContactsNMS Point of Contact,ContactsOwner,TRUE,TRUE
Contacts,NMS Points of Contact,Remove,Remove,Operational need unclear,ContactsNMS Points of Contact,RemoveRemove,TRUE,FALSE
Contacts,Number Of Chats,Remove/Hide,Remove/Hide,Standard Contacts field,ContactsNumber Of Chats,Remove/HideRemove/Hide,TRUE,FALSE
Contacts,Other City,Remove/Hide,Remove/Hide,Standard Contacts field,ContactsOther City,Remove/HideRemove/Hide,TRUE,FALSE
Contacts,Other Country,Remove/Hide,Remove/Hide,Standard Contacts field,ContactsOther Country,Remove/HideRemove/Hide,TRUE,FALSE
Contacts,Other State,Remove/Hide,Remove/Hide,Standard Contacts field,ContactsOther State,Remove/HideRemove/Hide,TRUE,FALSE
Contacts,Other Street,Remove/Hide,Remove/Hide,Standard Contacts field,ContactsOther Street,Remove/HideRemove/Hide,TRUE,FALSE
Contacts,Other Zip,Remove/Hide,Remove/Hide,Standard Contacts field,ContactsOther Zip,Remove/HideRemove/Hide,TRUE,FALSE
Contacts,Partner Name,Partners,Partner Name,,ContactsPartner Name,PartnersPartner Name,TRUE,TRUE
Contacts,Phone,Contacts,Phone,,ContactsPhone,ContactsPhone,TRUE,TRUE
Contacts,Portal Assigned Profile,Remove,Remove,Outdated process artifact,ContactsPortal Assigned Profile,RemoveRemove,TRUE,FALSE
Contacts,Portal Invitation Sent,Remove,Remove,Outdated process artifact,ContactsPortal Invitation Sent,RemoveRemove,TRUE,FALSE
Contacts,Primary Guardian is Only Legal Guardian,Guardian-Star Associations,Is Only Legal Guardian,,ContactsPrimary Guardian is Only Legal Guardian,Guardian-Star AssociationsIs Only Legal Guardian,TRUE,TRUE
Contacts,Referrer,Remove/Hide,Remove/Hide,Standard Contacts field,ContactsReferrer,Remove/HideRemove/Hide,TRUE,FALSE
Contacts,Reporting To,Remove/Hide,Remove/Hide,Standard Contacts field,ContactsReporting To,Remove/HideRemove/Hide,TRUE,FALSE
Contacts,Role and/or Title,Contacts,Role (General),,ContactsRole and/or Title,ContactsRole (General),TRUE,TRUE
Contacts,Role or Title,Contacts,Role (General),,ContactsRole or Title,ContactsRole (General),TRUE,TRUE
Contacts,Role/Title,Contacts,Role (General),,ContactsRole/Title,ContactsRole (General),TRUE,TRUE
Contacts,School,Educator-Star Associations,School,,ContactsSchool,Educator-Star AssociationsSchool,TRUE,TRUE
Contacts,Secondary Email,Remove/Hide,Remove/Hide,Standard Contacts field,ContactsSecondary Email,Remove/HideRemove/Hide,TRUE,FALSE
Contacts,Show Admin,Remove,Remove,Operational need unclear,ContactsShow Admin,RemoveRemove,TRUE,FALSE
Contacts,Skype ID,Remove/Hide,Remove/Hide,Standard Contacts field,ContactsSkype ID,Remove/HideRemove/Hide,TRUE,FALSE
Contacts,Star Date of Birth,Remove,Remove,Redundant field from Accounts,ContactsStar Date of Birth,RemoveRemove,TRUE,FALSE
Contacts,Star Dietary Restrictions,Remove,Remove,Redundant field from Accounts,ContactsStar Dietary Restrictions,RemoveRemove,TRUE,FALSE
Contacts,Star Identity,Remove,Remove,Redundant field from Accounts,ContactsStar Identity,RemoveRemove,TRUE,FALSE
Contacts,Star Interests,Remove,Remove,Redundant field from Accounts,ContactsStar Interests,RemoveRemove,TRUE,FALSE
Contacts,Star Race or Ethnicity,Remove,Remove,Redundant field from Accounts,ContactsStar Race or Ethnicity,RemoveRemove,TRUE,FALSE
Contacts,Star T-Shirt Size,Remove,Remove,Redundant field from Accounts,ContactsStar T-Shirt Size,RemoveRemove,TRUE,FALSE
Contacts,Student ID,Remove,Remove,Redundant field from Accounts,ContactsStudent ID,RemoveRemove,TRUE,FALSE
Contacts,Time Zone,Contacts,Time Zone,,ContactsTime Zone,ContactsTime Zone,TRUE,TRUE
Contacts,Title,Contacts,Title,,ContactsTitle,ContactsTitle,TRUE,TRUE
Contacts,Twitter,Remove/Hide,Remove/Hide,Standard Contacts field,ContactsTwitter,Remove/HideRemove/Hide,TRUE,FALSE
Contacts,User Permissions,Remove,Remove,Operational need unclear,ContactsUser Permissions,RemoveRemove,TRUE,FALSE
Contacts,Username,Remove,Remove,Outdated process artifact,ContactsUsername,RemoveRemove,TRUE,FALSE
Contacts,Visitor Score,Remove/Hide,Remove/Hide,Standard Contacts field,ContactsVisitor Score,Remove/HideRemove/Hide,TRUE,FALSE
Contacts,Weekday Availability,Remove,Remove,Availability to be recollected and stored in Star and Mentor modules,ContactsWeekday Availability,RemoveRemove,TRUE,FALSE
Contacts,Weekday Availability Times,Remove,Remove,Availability to be recollected and stored in Star and Mentor modules,ContactsWeekday Availability Times,RemoveRemove,TRUE,FALSE
Contacts,Weekend Availability,Remove,Remove,Availability to be recollected and stored in Star and Mentor modules,ContactsWeekend Availability,RemoveRemove,TRUE,FALSE
Contacts,Weekend Availability Time,Remove,Remove,Availability to be recollected and stored in Star and Mentor modules,ContactsWeekend Availability Time,RemoveRemove,TRUE,FALSE
Stem Course Progress,Accounts,Course Enrollments,Star,,Stem Course ProgressAccounts,Course EnrollmentsStar,TRUE,TRUE
Stem Course Progress,Course Cost,Remove,Remove,Budget information handled externally in RAMP,Stem Course ProgressCourse Cost,RemoveRemove,TRUE,FALSE
