Legacy Module,Legacy Field,Target Module,Target Field,Notes,helper legacy,helper target,in legacy,in target
Mentor Session Notes,"""If Yes, Student Shared Details""",Mentor Session Notes,Shared Interest Details,,"Mentor Session Notes""If Yes, Student Shared Details""",Mentor Session NotesShared Interest Details,TRUE,TRUE
Mentor Session Notes,Mentor Session Note Image,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Mentor Session NotesMentor Session Note Image,Remove/HideRemove/Hide,TRUE,FALSE
Mentor Session Notes,Mentor Session Note Name,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Mentor Session NotesMentor Session Note Name,Remove/HideRemove/Hide,TRUE,FALSE
Mentor Session Notes,Mentor Session Note Owner,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Mentor Session NotesMentor Session Note Owner,Remove/HideRemove/Hide,TRUE,FALSE
Mentor Session Notes,Modified By,Mentor Session Notes,Modified By,,Mentor Session NotesModified By,Mentor Session NotesModified By,TRUE,TRUE
Mentor Session Notes,Recording,Mentor Session Events,Session Recording URL,,Mentor Session NotesRecording,Mentor Session EventsSession Recording URL,TRUE,TRUE
Mentor Session Notes,Secondary Email,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Mentor Session NotesSecondary Email,Remove/HideRemove/Hide,TRUE,FALSE
Mentor Session Notes,Session,Mentor Session Notes,Mentor Session Event,,Mentor Session NotesSession,Mentor Session NotesMentor Session Event,TRUE,TRUE
Mentor Session Notes,Session Feedback,Mentor Session Notes,Star-Specific Session Notes,,Mentor Session NotesSession Feedback,Mentor Session NotesStar-Specific Session Notes,TRUE,TRUE
Mentor Session Notes,Show Admin Section,Remove,Remove,Operational need unclear,Mentor Session NotesShow Admin Section,RemoveRemove,TRUE,FALSE
Mentor Session Notes,Start Date,Mentor Session Events,Session Date & Time,,Mentor Session NotesStart Date,Mentor Session EventsSession Date & Time,TRUE,TRUE
Mentor Session Notes,Student Shared Anything STEM Related?,Mentor Session Notes,Student Shared STEM Interest?,,Mentor Session NotesStudent Shared Anything STEM Related?,Mentor Session NotesStudent Shared STEM Interest?,TRUE,TRUE
Mentor Sessions,Created By,Mentor Session Events,Created By,,Mentor SessionsCreated By,Mentor Session EventsCreated By,TRUE,TRUE
Mentor Sessions,Email,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Mentor SessionsEmail,Remove/HideRemove/Hide,TRUE,FALSE
Mentor Sessions,Email Opt Out,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Mentor SessionsEmail Opt Out,Remove/HideRemove/Hide,TRUE,FALSE
Mentor Sessions,Mentor Account,Mentor Session Events,Mentor,,Mentor SessionsMentor Account,Mentor Session EventsMentor,TRUE,TRUE
Mentor Sessions,Mentor Session Image,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Mentor SessionsMentor Session Image,Remove/HideRemove/Hide,TRUE,FALSE
Mentor Sessions,Mentor Session Name,Mentor Session Events,Overall Session Topic,,Mentor SessionsMentor Session Name,Mentor Session EventsOverall Session Topic,TRUE,TRUE
Mentor Sessions,Mentor Session Owner,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Mentor SessionsMentor Session Owner,Remove/HideRemove/Hide,TRUE,FALSE
Mentor Sessions,Modified By,Mentor Session Events,Modified By,,Mentor SessionsModified By,Mentor Session EventsModified By,TRUE,TRUE
Mentor Sessions,Note Sync Flag,Remove,Remove,Outdated process artifact,Mentor SessionsNote Sync Flag,RemoveRemove,TRUE,FALSE
Mentor Sessions,Recording,Mentor Session Events,Session Recording URL,,Mentor SessionsRecording,Mentor Session EventsSession Recording URL,TRUE,TRUE
Mentor Sessions,Secondary Email,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Mentor SessionsSecondary Email,Remove/HideRemove/Hide,TRUE,FALSE
Mentor Sessions,Session Notes Subform Attempt,Remove,Remove,Outdated process artifact,Mentor SessionsSession Notes Subform Attempt,RemoveRemove,TRUE,FALSE
Mentor Sessions,Session Notes Subform Status,Remove,Remove,Outdated process artifact,Mentor SessionsSession Notes Subform Status,RemoveRemove,TRUE,FALSE
Mentor Sessions,Show Admin Section,Remove,Remove,Operational need unclear,Mentor SessionsShow Admin Section,RemoveRemove,TRUE,FALSE
Mentor Sessions,Start Date,Mentor Session Events,Session Date & Time,,Mentor SessionsStart Date,Mentor Session EventsSession Date & Time,TRUE,TRUE
Mentor Sessions,Status,Mentor Session Events,Status,,Mentor SessionsStatus,Mentor Session EventsStatus,TRUE,TRUE
Mentor Sessions,Topic,Mentor Session Events,Overall Session Topic,,Mentor SessionsTopic,Mentor Session EventsOverall Session Topic,TRUE,TRUE
Budget Disbursements,Accounts,Remove,Remove,Budget information handled externally in RAMP,Budget DisbursementsAccounts,RemoveRemove,TRUE,FALSE
Budget Disbursements,Amount of Financial Aid Provided,Remove,Remove,Budget information handled externally in RAMP,Budget DisbursementsAmount of Financial Aid Provided,RemoveRemove,TRUE,FALSE
Budget Disbursements,Budget Category,Remove,Remove,Budget information handled externally in RAMP,Budget DisbursementsBudget Category,RemoveRemove,TRUE,FALSE
Budget Disbursements,Budget Disbursement Image,Remove,Remove,Budget information handled externally in RAMP,Budget DisbursementsBudget Disbursement Image,RemoveRemove,TRUE,FALSE
Budget Disbursements,Budget Disbursement Name,Remove,Remove,Budget information handled externally in RAMP,Budget DisbursementsBudget Disbursement Name,RemoveRemove,TRUE,FALSE
Budget Disbursements,Budget Disbursement Owner,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Budget DisbursementsBudget Disbursement Owner,Remove/HideRemove/Hide,TRUE,FALSE
Budget Disbursements,Created By,Remove,Remove,Budget information handled externally in RAMP,Budget DisbursementsCreated By,RemoveRemove,TRUE,FALSE
Budget Disbursements,Date of Disbursement,Remove,Remove,Budget information handled externally in RAMP,Budget DisbursementsDate of Disbursement,RemoveRemove,TRUE,FALSE
Budget Disbursements,Disbursement Amount,Remove,Remove,Budget information handled externally in RAMP,Budget DisbursementsDisbursement Amount,RemoveRemove,TRUE,FALSE
Budget Disbursements,Email,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Budget DisbursementsEmail,Remove/HideRemove/Hide,TRUE,FALSE
Budget Disbursements,Email Opt Out,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Budget DisbursementsEmail Opt Out,Remove/HideRemove/Hide,TRUE,FALSE
Budget Disbursements,Modified By,Remove,Remove,Budget information handled externally in RAMP,Budget DisbursementsModified By,RemoveRemove,TRUE,FALSE
Budget Disbursements,Other Notes,Remove,Remove,Budget information handled externally in RAMP,Budget DisbursementsOther Notes,RemoveRemove,TRUE,FALSE
Budget Disbursements,Provider Financial Aid Provided,Remove,Remove,Budget information handled externally in RAMP,Budget DisbursementsProvider Financial Aid Provided,RemoveRemove,TRUE,FALSE
Budget Disbursements,Request Vendor,Products,Vendor,,Budget DisbursementsRequest Vendor,ProductsVendor,TRUE,TRUE
Budget Disbursements,Secondary Email,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Budget DisbursementsSecondary Email,Remove/HideRemove/Hide,TRUE,FALSE
Budget Disbursements,Show Admin Section,Remove,Remove,Operational need unclear,Budget DisbursementsShow Admin Section,RemoveRemove,TRUE,FALSE
Budget Disbursements,STEM Enrichments and Camps,Remove,Remove,Budget information handled externally in RAMP,Budget DisbursementsSTEM Enrichments and Camps,RemoveRemove,TRUE,FALSE
Advisor Meetings,Account,Advisor Meetings,Household,,Advisor MeetingsAccount,Advisor MeetingsHousehold,TRUE,TRUE
Advisor Meetings,Advisor Meeting Image,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Advisor MeetingsAdvisor Meeting Image,Remove/HideRemove/Hide,TRUE,FALSE
Advisor Meetings,Advisor Meeting Name,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Advisor MeetingsAdvisor Meeting Name,Remove/HideRemove/Hide,TRUE,FALSE
Advisor Meetings,Advisor Meeting Owner,Advisor Meetings,Advisor,,Advisor MeetingsAdvisor Meeting Owner,Advisor MeetingsAdvisor,TRUE,TRUE
Advisor Meetings,Created By,Advisor Meetings,Created By,,Advisor MeetingsCreated By,Advisor MeetingsCreated By,TRUE,TRUE
Advisor Meetings,Email,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Advisor MeetingsEmail,Remove/HideRemove/Hide,TRUE,FALSE
Advisor Meetings,Email Opt Out,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Advisor MeetingsEmail Opt Out,Remove/HideRemove/Hide,TRUE,FALSE
Advisor Meetings,End Time,Advisor Meetings,End Time,,Advisor MeetingsEnd Time,Advisor MeetingsEnd Time,TRUE,TRUE
Advisor Meetings,Meeting Agenda,Advisor Meetings,Agenda URL,,Advisor MeetingsMeeting Agenda,Advisor MeetingsAgenda URL,TRUE,TRUE
Advisor Meetings,Meeting Attendees,Advisor Meetings,attendees,,Advisor MeetingsMeeting Attendees,Advisor Meetingsattendees,TRUE,TRUE
Advisor Meetings,Meeting Format,Advisor Meetings,Meeting Format,,Advisor MeetingsMeeting Format,Advisor MeetingsMeeting Format,TRUE,TRUE
Advisor Meetings,Meeting Purpose,Advisor Meetings,Purpose,,Advisor MeetingsMeeting Purpose,Advisor MeetingsPurpose,TRUE,TRUE
Advisor Meetings,Modified By,Advisor Meetings,Modified By,,Advisor MeetingsModified By,Advisor MeetingsModified By,TRUE,TRUE
Advisor Meetings,Secondary Email,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Advisor MeetingsSecondary Email,Remove/HideRemove/Hide,TRUE,FALSE
Advisor Meetings,Show Admin Section,Remove,Remove,Operational need unclear,Advisor MeetingsShow Admin Section,RemoveRemove,TRUE,FALSE
Advisor Meetings,Start Time,Advisor Meetings,Start Time,,Advisor MeetingsStart Time,Advisor MeetingsStart Time,TRUE,TRUE
Guardian / Stars,Cohort Entry Year,Remove,Remove,Information belongs in Stars module,Guardian / StarsCohort Entry Year,RemoveRemove,TRUE,FALSE
Guardian / Stars,Created By,Guardian-Star Associations,Created By,,Guardian / StarsCreated By,Guardian-Star AssociationsCreated By,TRUE,TRUE
Guardian / Stars,Created Time,Guardian-Star Associations,Created Time,,Guardian / StarsCreated Time,Guardian-Star AssociationsCreated Time,TRUE,TRUE
Guardian / Stars,Email Opt Out,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Guardian / StarsEmail Opt Out,Remove/HideRemove/Hide,TRUE,FALSE
Guardian / Stars,G/Star Linking ID,Remove,Remove,Operational need unclear,Guardian / StarsG/Star Linking ID,RemoveRemove,TRUE,FALSE
Guardian / Stars,Guardian / Stars Owner,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Guardian / StarsGuardian / Stars Owner,Remove/HideRemove/Hide,TRUE,FALSE
Guardian / Stars,Guardian Email,Remove,Remove,Information belongs in Contacts module,Guardian / StarsGuardian Email,RemoveRemove,TRUE,FALSE
Guardian / Stars,Guardians,Guardian-Star Associations,Guardian,,Guardian / StarsGuardians,Guardian-Star AssociationsGuardian,TRUE,TRUE
Guardian / Stars,Last Activity Time,Guardian-Star Associations,Last Activity Time,,Guardian / StarsLast Activity Time,Guardian-Star AssociationsLast Activity Time,TRUE,TRUE
Guardian / Stars,Modified By,Guardian-Star Associations,Modified By,,Guardian / StarsModified By,Guardian-Star AssociationsModified By,TRUE,TRUE
Guardian / Stars,Modified Time,Guardian-Star Associations,Modified Time,,Guardian / StarsModified Time,Guardian-Star AssociationsModified Time,TRUE,TRUE
Guardian / Stars,Relationship,Guardian-Star Associations,Relationship Type,,Guardian / StarsRelationship,Guardian-Star AssociationsRelationship Type,TRUE,TRUE
Guardian / Stars,Show Admin Section,Remove,Remove,Operational need unclear,Guardian / StarsShow Admin Section,RemoveRemove,TRUE,FALSE
Guardian / Stars,Star,Guardian-Star Associations,Star,,Guardian / StarsStar,Guardian-Star AssociationsStar,TRUE,TRUE
Guardian / Stars,Star ID,Remove,Remove,Information belongs in Stars module,Guardian / StarsStar ID,RemoveRemove,TRUE,FALSE
Guardian / Stars,Star's Cohort Region,Remove,Remove,Information belongs in Stars module,Guardian / StarsStar's Cohort Region,RemoveRemove,TRUE,FALSE
Educator Star Association,Created By,Educator-Star Associations,Created By,,Educator Star AssociationCreated By,Educator-Star AssociationsCreated By,TRUE,TRUE
Educator Star Association,Educator,Educator-Star Associations,Educator,,Educator Star AssociationEducator,Educator-Star AssociationsEducator,TRUE,TRUE
Educator Star Association,Educator Star Association Image,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Educator Star AssociationEducator Star Association Image,Remove/HideRemove/Hide,TRUE,FALSE
Educator Star Association,Educator Star Association Owner,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Educator Star AssociationEducator Star Association Owner,Remove/HideRemove/Hide,TRUE,FALSE
Educator Star Association,Email,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Educator Star AssociationEmail,Remove/HideRemove/Hide,TRUE,FALSE
Educator Star Association,Email Opt Out,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Educator Star AssociationEmail Opt Out,Remove/HideRemove/Hide,TRUE,FALSE
Educator Star Association,Modified By,Educator-Star Associations,Modified By,,Educator Star AssociationModified By,Educator-Star AssociationsModified By,TRUE,TRUE
Educator Star Association,National Math Star,Educator-Star Associations,Star,,Educator Star AssociationNational Math Star,Educator-Star AssociationsStar,TRUE,TRUE
Educator Star Association,School Year,Remove,Remove,Information represented using Start/End dates,Educator Star AssociationSchool Year,RemoveRemove,TRUE,FALSE
Educator Star Association,Secondary Email,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Educator Star AssociationSecondary Email,Remove/HideRemove/Hide,TRUE,FALSE
Educator Star Association,Show Admin Section,Remove,Remove,Operational need unclear,Educator Star AssociationShow Admin Section,RemoveRemove,TRUE,FALSE
Educator Star Association,Status,Educator-Star Associations,Status,,Educator Star AssociationStatus,Educator-Star AssociationsStatus,TRUE,TRUE
Educator Star Association,T/Star Linking ID,Remove,Remove,Operational need unclear,Educator Star AssociationT/Star Linking ID,RemoveRemove,TRUE,FALSE
Educator Star Association,Type,Educator-Star Associations,Role (at School/Context),,Educator Star AssociationType,Educator-Star AssociationsRole (at School/Context),TRUE,TRUE
School Star Associations,Created By,Star-School Associations,Created By,,School Star AssociationsCreated By,Star-School AssociationsCreated By,TRUE,TRUE
School Star Associations,Created Time,Star-School Associations,Created Time,,School Star AssociationsCreated Time,Star-School AssociationsCreated Time,TRUE,TRUE
School Star Associations,Email,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,School Star AssociationsEmail,Remove/HideRemove/Hide,TRUE,FALSE
School Star Associations,Email Opt Out,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,School Star AssociationsEmail Opt Out,Remove/HideRemove/Hide,TRUE,FALSE
School Star Associations,End,Star-School Associations,End Date,,School Star AssociationsEnd,Star-School AssociationsEnd Date,TRUE,TRUE
School Star Associations,Last Activity Time,Star-School Associations,Last Activity Time,,School Star AssociationsLast Activity Time,Star-School AssociationsLast Activity Time,TRUE,TRUE
School Star Associations,Modified By,Star-School Associations,Modified By,,School Star AssociationsModified By,Star-School AssociationsModified By,TRUE,TRUE
School Star Associations,Modified Time,Star-School Associations,Modified Time,,School Star AssociationsModified Time,Star-School AssociationsModified Time,TRUE,TRUE
School Star Associations,S/Star Linking ID,Remove,Remove,Operational need unclear,School Star AssociationsS/Star Linking ID,RemoveRemove,TRUE,FALSE
School Star Associations,School Star Associations Owner,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,School Star AssociationsSchool Star Associations Owner,Remove/HideRemove/Hide,TRUE,FALSE
School Star Associations,Schools,Star-School Associations,School,,School Star AssociationsSchools,Star-School AssociationsSchool,TRUE,TRUE
School Star Associations,Secondary Email,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,School Star AssociationsSecondary Email,Remove/HideRemove/Hide,TRUE,FALSE
School Star Associations,Show Admin Section,Remove,Remove,Operational need unclear,School Star AssociationsShow Admin Section,RemoveRemove,TRUE,FALSE
School Star Associations,Star,Star-School Associations,Star,,School Star AssociationsStar,Star-School AssociationsStar,TRUE,TRUE
School Star Associations,Start,Star-School Associations,Start Date,,School Star AssociationsStart,Star-School AssociationsStart Date,TRUE,TRUE
School Star Associations,Status,Star-School Associations,Status,,School Star AssociationsStatus,Star-School AssociationsStatus,TRUE,TRUE
Mentor Star Associations,Created By,Mentor-Star Associations,Created By,,Mentor Star AssociationsCreated By,Mentor-Star AssociationsCreated By,TRUE,TRUE
Mentor Star Associations,Email,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Mentor Star AssociationsEmail,Remove/HideRemove/Hide,TRUE,FALSE
Mentor Star Associations,Email Opt Out,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Mentor Star AssociationsEmail Opt Out,Remove/HideRemove/Hide,TRUE,FALSE
Mentor Star Associations,Math Mentor,Mentor-Star Associations,Mentor,,Mentor Star AssociationsMath Mentor,Mentor-Star AssociationsMentor,TRUE,TRUE
Mentor Star Associations,Mentor Star Association Image,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Mentor Star AssociationsMentor Star Association Image,Remove/HideRemove/Hide,TRUE,FALSE
Mentor Star Associations,Mentor Star Association Owner,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Mentor Star AssociationsMentor Star Association Owner,Remove/HideRemove/Hide,TRUE,FALSE
Mentor Star Associations,MM/Star Linking ID,Remove,Remove,Operational need unclear,Mentor Star AssociationsMM/Star Linking ID,RemoveRemove,TRUE,FALSE
Mentor Star Associations,Modified By,Mentor-Star Associations,Modified By,,Mentor Star AssociationsModified By,Mentor-Star AssociationsModified By,TRUE,TRUE
Mentor Star Associations,National Math Star,Mentor-Star Associations,Star,,Mentor Star AssociationsNational Math Star,Mentor-Star AssociationsStar,TRUE,TRUE
Mentor Star Associations,School Year,Remove,Remove,Information represented using Start/End dates,Mentor Star AssociationsSchool Year,RemoveRemove,TRUE,FALSE
Mentor Star Associations,Secondary Email,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Mentor Star AssociationsSecondary Email,Remove/HideRemove/Hide,TRUE,FALSE
Mentor Star Associations,Show Admin Section,Remove,Remove,Operational need unclear,Mentor Star AssociationsShow Admin Section,RemoveRemove,TRUE,FALSE
Mentor Star Associations,Status,Mentor-Star Associations,Status,,Mentor Star AssociationsStatus,Mentor-Star AssociationsStatus,TRUE,TRUE
Mentor Star Associations,Type,Remove,Remove,Operational need unclear,Mentor Star AssociationsType,RemoveRemove,TRUE,FALSE
Advisor Star Association,Advisor Email,Remove,Remove,Information belongs in Contacts module,Advisor Star AssociationAdvisor Email,RemoveRemove,TRUE,FALSE
Advisor Star Association,Advisor Name Alias,Remove,Remove,Unlcear operational need,Advisor Star AssociationAdvisor Name Alias,RemoveRemove,TRUE,FALSE
Advisor Star Association,Advisor Star Association Image,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Advisor Star AssociationAdvisor Star Association Image,Remove/HideRemove/Hide,TRUE,FALSE
Advisor Star Association,Advisor Star Association Owner,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Advisor Star AssociationAdvisor Star Association Owner,Remove/HideRemove/Hide,TRUE,FALSE
Advisor Star Association,Created By,Advisor-Star Associations,Created By,,Advisor Star AssociationCreated By,Advisor-Star AssociationsCreated By,TRUE,TRUE
Advisor Star Association,Email,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Advisor Star AssociationEmail,Remove/HideRemove/Hide,TRUE,FALSE
Advisor Star Association,Email Opt Out,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Advisor Star AssociationEmail Opt Out,Remove/HideRemove/Hide,TRUE,FALSE
Advisor Star Association,FA/Star Linking ID,Remove,Remove,Operational need unclear,Advisor Star AssociationFA/Star Linking ID,RemoveRemove,TRUE,FALSE
Advisor Star Association,Family Advisor,Advisor-Star Associations,Advisor,,Advisor Star AssociationFamily Advisor,Advisor-Star AssociationsAdvisor,TRUE,TRUE
Advisor Star Association,Modified By,Advisor-Star Associations,Modified By,,Advisor Star AssociationModified By,Advisor-Star AssociationsModified By,TRUE,TRUE
Advisor Star Association,School Year,Remove,Remove,Information represented using Start/End dates,Advisor Star AssociationSchool Year,RemoveRemove,TRUE,FALSE
Advisor Star Association,Secondary Email,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,Advisor Star AssociationSecondary Email,Remove/HideRemove/Hide,TRUE,FALSE
Advisor Star Association,Show Admin Section,Remove,Remove,Operational need unlcear,Advisor Star AssociationShow Admin Section,RemoveRemove,TRUE,FALSE
Advisor Star Association,Star,Advisor-Star Associations,Star,,Advisor Star AssociationStar,Advisor-Star AssociationsStar,TRUE,TRUE
Advisor Star Association,Status,Advisor-Star Associations,Status,,Advisor Star AssociationStatus,Advisor-Star AssociationsStatus,TRUE,TRUE
Media,Date of Media Creation,Media,Media Date,,MediaDate of Media Creation,MediaMedia Date,TRUE,TRUE
Media,Image Uploads (Max 10),Media,File URL / Attachment,,MediaImage Uploads (Max 10),MediaFile URL / Attachment,TRUE,TRUE
Media,Media Link,Media,File URL / Attachment,,MediaMedia Link,MediaFile URL / Attachment,TRUE,TRUE
Media,Media Name,Media,Description,,MediaMedia Name,MediaDescription,TRUE,TRUE
Media,Media Owner,Remove/Hide,Remove/Hide,Standard fields; operational need unclear,MediaMedia Owner,Remove/HideRemove/Hide,TRUE,FALSE
Media,Outcome (if applicable),Media,Outcome (if applicable),,MediaOutcome (if applicable),MediaOutcome (if applicable),TRUE,TRUE
Media,Star,Media,Star (if not via Outcome),,MediaStar,MediaStar (if not via Outcome),TRUE,TRUE
Media,STEM Enrichment (if applicable),Media,Enrichment (If applicable),,MediaSTEM Enrichment (if applicable),MediaEnrichment (If applicable),TRUE,TRUE
Media,Video Upload,Media,File URL / Attachment,,MediaVideo Upload,MediaFile URL / Attachment,TRUE,TRUE